Model,Case,Time (s),Time (score),Detection,Analysis,Fix,Practicality,Final Score,Notes,,,
Claude Opus 4.6,CO4.6_A_C4_R1,88.09,1,9,9,9,9,83,Very good overall,,,
Claude Opus 4.6,CO4.6_A_C3_R2,82.15,1,8,9,9,8,78.5,"very good offensive tips and examle, comlicated fix",,,
Claude Opus 4.6,CO4.6_A_C3_R1,93.59,1,8,10,8,7,76.5,gret analysis but overcomplicated fix leaving SUID bit escalation,,,
Claude Opus 4.6,CO4.6_A_C2_R2,49.41,2,8,9,9,8,80.5,"good offensive perspective, fix could be simpler",,,
Claude Opus 4.6,CO4.6_A_C2_R1,68.66,2,8,10,7,7,76,good offensive perspective but overcomplicated fix,,,
Claude Opus 4.6,CO4.6_A_C1_R2,74.87,1,8,10,9,8,80.5,"Good patch but added complexity, great offensive aspect",,,
Claude Opus 4.6,CO4.6_A_C1_R1,58.37,2,8,10,9,8,82.5,"Good patch but added complexity, great offensive aspect",,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
